name,price,link_full,angle,image_url,posted
Laneige Lip Sleeping Mask - Overnight Lip Treatment with Vitamin C and Shea Butter,540,https://www.amazon.in/dp/B0BPC8KG73?tag=bansallab01-21,Put this on before bed once and you'll see why everyone's obsessed,https://m.media-amazon.com/images/I/41R7LCjddAL._SL1100_.jpg,yes
SOULWIT Cable Holder Clips - 3 Pack Self Adhesive Cable Organiser,450,https://www.amazon.in/dp/B0GKF4TN2Q?tag=bansallab01-21,Stuck these under my desk once and my cable mess just disappeared,https://m.media-amazon.com/images/I/71lVIE7+xCL._SL1500_.jpg,yes
AITODOS Portable Aluminum Alloy Laptop Stand - 6 Level Adjustable Foldable,217,https://www.amazon.in/dp/B0BJKGR6B4?tag=bansallab01-21,My laptop stopped overheating the day I started using this,https://m.media-amazon.com/images/I/81SwMhBPrRL._SL1500_.jpg,yes
ZEVON Garlic Crusher - Stainless Steel Garlic Press and Mincer,299,https://www.amazon.in/dp/B0CXY3R242?tag=bansallab01-21,No more smelly fingers from peeling and crushing garlic by hand,https://m.media-amazon.com/images/I/81f7h7S+IkL._SL1500_.jpg,yes
YouBella Afghani Tribal Beads Jewellery Set with Earrings,238,https://www.amazon.in/dp/B07L9DMG5K?tag=bansallab01-21,Looks way more expensive than it actually costs,https://m.media-amazon.com/images/I/71mjFCuBSDL._SY575_.jpg,yes
Philips Hair Straightener Brush BHH880 - SilkProtect Keratin Tech,2686,https://www.amazon.in/dp/B07Q2ZM5LS?tag=bansallab01-21,Straightens hair in 5 minutes without the usual frizz and damage,https://m.media-amazon.com/images/I/71GDUPV6CdL._SL1500_.jpg,yes
Boldfit Yoga Mat 6mm EVA Anti Slip for Home and Gym,499,https://www.amazon.in/dp/B0B75B9M2D?tag=bansallab01-21,Thick enough that my knees stopped hurting during floor exercises,https://m.media-amazon.com/images/I/81feGML0NAL._SL1500_.jpg,yes
FATMUG Large Toiletry Organizer Dopp Kit Washbag for Men and Women,399,https://www.amazon.in/dp/B07W7KZCCD?tag=bansallab01-21,Finally fits everything without my bag turning into a mess at the airport,https://m.media-amazon.com/images/I/818HLi1CARL._SL1500_.jpg,yes
MAZ-TEK Motion Sensor LED Night Light - USB Rechargeable Pack of 2,299,https://www.amazon.in/dp/B0H1QSNPKM?tag=bansallab01-21,Stuck one near the stairs and stopped fumbling for the switch at night,https://m.media-amazon.com/images/I/51Vy89MXQrL._SL1376_.jpg,yes
Fulminare LED Desk Lamp - Dimmable with USB Charging Port,399,https://www.amazon.in/dp/B0D29CLX4Z?tag=bansallab01-21,Charges my phone while I study - one less cable on the desk,https://m.media-amazon.com/images/I/61b12Blb-JL._SL1254_.jpg,yes
Milton Kool Steelight 400 Kids Insulated Water Bottle with Straw,307,https://www.amazon.in/dp/B07PBY6ZS2?tag=bansallab01-21,Zero leaks in the school bag for an entire term so far,https://m.media-amazon.com/images/I/717ORFuwTGL._SL1500_.jpg,yes
HANK Deshedding Brush for Dogs and Cats - Stainless Steel Grooming Tool,699,https://www.amazon.in/dp/B07ZS1PF3N?tag=bansallab01-21,Got more loose fur out in one session than weeks of regular brushing,https://m.media-amazon.com/images/I/61HXCWRsTIL._SL1500_.jpg,no
Portronics Clamp M5 Car Phone Holder - Suction Cup Mount,442,https://www.amazon.in/dp/B0DM243H42?tag=bansallab01-21,"Holds steady even on rough roads, doesn't slide down like the cheaper ones",https://m.media-amazon.com/images/I/61XDD+IKQjL._SL1200_.jpg,no
Plum 10% Niacinamide Serum with Rice Water - Oil Control Anti Acne Face Serum 30ml,517,https://www.amazon.in/dp/B097RBPTRH?tag=bansallab01-21,Noticed clearer skin in under 2 weeks - and it works on oily skin without drying it out,https://m.media-amazon.com/images/I/51G7Il-vTWL._SL1001_.jpg,no
INKULTURE Stainless Steel Measuring Cups and Spoons Set - 4 Cups and 4 Spoons,295,https://www.amazon.in/dp/B08JKPVDKL?tag=bansallab01-21,Stopped guessing baking quantities and my cakes actually turned out right,https://m.media-amazon.com/images/I/61QDkUVepSL._SL1258_.jpg,no
PrettyKrafts Laundry Basket with Lid and Handles - 75 Litre Mushroom Print,299,https://www.amazon.in/dp/B08D6RCM3Q?tag=bansallab01-21,Hides the mess completely - looks decent enough to keep in the bedroom,https://m.media-amazon.com/images/I/61R9iY4lvKL._SL1500_.jpg,no
HOMEGALLEY Foam Roller for Exercise and Deep Tissue Massage - 30cm Navy Blue,470,https://www.amazon.in/dp/B0BGSGQ2M8?tag=bansallab01-21,Used this on my back after sitting all day and the difference was immediate,https://m.media-amazon.com/images/I/416AAljhQBL.jpg,no
